0.042553,0.12766,0.25532,0.2766,0.085106,0.14894,0.021277,0,0.021277,0.021277
0.025773,0.24742,0.24742,0.23711,0.020619,0.061856,0.025773,0.11856,0.010309,0.0051546
0.018779,0.11268,0.28638,0.29577,0.061033,0.1338,0.077465,0,0,0.014085
0.011846,0.039487,0.11649,0.64462,0.039487,0.12636,0.0088845,0.0049358,0.0019743,0.005923
0.031496,0.007874,0.18898,0.32283,0.15748,0.23622,0.03937,0,0.007874,0.007874
0.029499,0.061947,0.17994,0.33628,0.079646,0.23009,0.038348,0.014749,0.014749,0.014749
0.035714,0.011905,0.42857,0.071429,0.035714,0.13095,0.11905,0.059524,0.047619,0.059524
0,0.5625,0,0.020833,0,0.125,0.083333,0.0625,0.0625,0.083333
0.071429,0.035714,0.035714,0.10714,0.035714,0.14286,0.10714,0.071429,0.14286,0.25
0.0032573,0.0032573,0.013029,0.016287,0.0065147,0.032573,0.0065147,0.016287,0.019544,0.88274
